これはPremiere Proのショートカットキークイズです。「保存」は何？,4,かめ,ウサギ,キリン,Cmd + S
「別名で保存」は何？,1,Cmd + Shift + S,サイダー,オレンジ,ピーチ
「メディア読み込み」は何？,3,リンゴ,かき,Cmd + I,ホットケーキ
「メディア書き出し」は何？,4,いのしし,ぞう,さい,Cmd + M
「Premiere Pro　終了」は何？,2,こおり,Cmd + Q,ふぶき,れいぞうこ
「新規シーケンス作成」は何？,1,Cmd + N,あい,うえ,かき
「取り消し」は何？,3,あい,うえ,Cmd + Z,かき
「やり直し」は何？,2,あい,Cmd + Shift + Z,うえ,かき
「切り取り」は何？,4,あい,うえ,かき,Cmd + X
「コピー」は何？,3,あい,うえ,Cmd + C,かき
「ペースト」は何？,2,あい,Cmd + V,うえ,かき
「インサートペースト」は何？,3,あい,うえ,Cmd + shift + V,かき
「複製」は何？,1,Cmd + shift + /,あい,うえ,かき
「消去」は何？,4,あい,うえ,かき,Delete
「全て選択」は何？,1,Cmd + A,あい,うえ,かき
「ワークエリアでエフェクトをレンダリング」は何？,1,return,あい,うえ,かき
「編集点を追加」は何？,2,あい,Cmd + K,うえ,かき
「編集点をすべてのトラックに追加」は何？,3,あい,うえ,Cmd + Shift + K,かき
「再生 / 停止」は何？,3,あい,うえ,Space,かき
「消去」は何？,2,あい,Delete,うえ,かき
「ビデオトランジションを適用」は何？,1,Cmd + D,あい,うえ,かき
「オーディオトランジションを適用」は何？,4,あい,うえ,かき,Cmd + Shift + D
「インをマーク」は何？,3,あい,うえ,I,かき
「アウトをマーク」は何？,4,あい,うえ,かき,O
「マーカーを追加」は何？,4,あい,うえ,かき,M
「横書きテキストツール」は何？,3,あい,うえ,Cmd + T,かき
「長方形」は何？,2,あい,Option + Cmd + R,うえ,かき
「楕円形」は何？,2,あい,Option + Cmd + E,うえ,かき
「選択項目を削除」は何？,1,Delete,あい,うえ,かき
「選択したクリップを左に 5 フレーム移動」は何？,3,あい,うえ,Shift + Cmd + →,かき
「選択したクリップを左に 1 フレーム移動」は何？,4,あい,うえ,かき,Cmd + →
「選択したクリップを右に 5 フレーム移動」は何？,3,あい,うえ,Shift + Cmd + ←,かき
「選択したクリップを右に 1 フレーム移動」は何？,1,Cmd + ←,あい,うえ,かき
「選択ツール」は何？,1,V,あい,うえ,かき
「トラックの前方選択ツール」は何？,4,あい,うえ,かき,A
「リップルツール」は何？,2,あい,B,うえ,かき
「レーザーツール」は何？,2,あい,C,うえ,かき
「ペンツール」は何？,3,あい,うえ,P,かき
「ハンドツール」は何？,3,あい,うえ,H,かき
